,Rank,Title,Artist(s),Year,Lyrics,Source
177,78,young dumb & broke,khalid,2017,,
178,79,magnolia,playboi carti,2017,"['Yo, Pierre You wanna come out here?', ""In New York I Milly Rock, hide it in my sock\nRunning from an opp, then I shoot at opp\nAnd I'm on the block, and I'm on the block\nIn New York I Milly Rock, hide it in my sock\nHide in my sock, selling that rerock"", ""In New York I Milly Rock, hide it in my sock\nUsed to sell rerock, running from the cops\nShooting at the opps\nYo, Pierre You wanna come out here?\nShooting at the opps, cause I run they block\nGimme top top, in my drop top\nAll these hoes gon' flock flock, when I drop drop\nAll these hoes gon' flock flock, when I drop drop\nAll these hoes gon' flock flock, when I drop"", ""Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo! Woo!\nAll these hoes want cash, all these hoes want bags\nFucking on yo bitch, uh I'm her dad\nAll these niggas sound like cash, sound like cash\nI'm a soldier, damn I thought I told you\nShootin' like a soldier like I'm from Magnolia\nAll these niggas, all these foes\nBig bank, never fold\nSippin, ac, man that shit slow me\nBitches on me, say she like my clothes\nI'm in London, Young Carti global\nDesigner is on me, call it dirty laundry\nAll these bitches want Young Carti\nYoung Carti, yeah\nYoung Carti, young Carti what\nYoung Carti, young Carti yeah\nAll of your bitches they loose, all of your bitches they loose\nAll of my bitches is rich\nAnd they stay rockin' that Rick huh\nRich bitch\nCash Carti bitch\nRich bitch\nGot a rich clique, she suckin' on the clique\nShe suckin' on the dick\nGive that hoe a tip, told her buy some kicks\nThen I brush my teeth, pop up in a whip\nGlocky in the whip\nGlocky in the whip\nAnd I'm cocky, fuckin' on a thotty\nShe just wanna top me\nBitch can't stop me\nI'm riding in a Mase, this ain't even my Mase\nOh that's not yo thotty? Yo bitch look like a Aunty\nWalked in with Ashanti\nDamn that look like Carti, Damn that look like Carti\nI think dat be Young Carti\nHeard he spent a hunnid on a fucking watch piece\nThat's filthy"", ""In New York I Milly Rock, hide it in my sock\nRunning from an opp, then I shoot at opp\nAnd I'm on the block, and I'm on the block\nIn New York I Milly Rock, hide it in my sock\nHide in my sock, selling that rerock\nIn New York I Milly Rock, hide it in my sock\nUse to sell rerock, running from the cops\nShooting at the opps\nYo, Pierre You wanna come out here?""]",1
179,80,love galore,sza featuring travis scott,2017,"['I need, I need\nI need, I need\nI need, I need\nI need, I need\nI need, I need', ""Love, love, love, love\n'long as we got\nLove, love, love\n'long as we got"", ""Done with these niggas\nI don't love these niggas\nI dust off these niggas\nDo it for fun\nDon't take it personal\nPersonally, I'm surprised you\nCalled me after the things I said\nSkrrt, skrrt on niggas\nSkirt up on niggas\nSkirt down, you acting like me\nActing like we\nWas more than just some old fling\nI said farewell\nYou took it well\nPromise I won't cry over spilled milk\n(Ooh no, I won't)\nGimme a paper towel\nGimme another valium\nGimme another hour or two\nHour with you"", ""Why you bother me when you know you don't want me?\nWhy you bother me when you know you got a woman?\nWhy you hit me when you know you know better?\nKnow you know better\nKnow your crew better than you do\nCall me looking for ya (yeah)\nI be looking for ya (yeah)\nGot me looking forward to weekends\nWith you baby\nWith you baby\nWith you baby\nWith you"", ""We do whatever we want\nGo wherever we want\nLove however we want\nIt don't matter\nYou'll do whatever I want\nGet whatever I want\nGet whatever I need\nIt's about"", ""Love, love, love, love\n'long as we got\nLove, love, love\n'long as we got"", ""Should've never gave you my number\nI did it with you\nShould've never let you hit it\nI split it with you\nI regret it\nYou gots a fetish\nYou gots a problem\nNow it's a problem, oh no\nSkrrt, skrrt on bitches\nDon't know these bitches\nDig dirt on bitches\nDo it for fun\nDon't take it personal baby\nLove 'em all lately\nLuh love to my ladies\nDated a few"", ""Why you bother me?\nWhy you bother me?\nWhy you bother me?\nLast time I checked you were the one that left\nMe in a wreck, me in a mess\nYou all I rep, like my side I rep\nThat's that Mo city\nThat side that you can't come 'round at night, yeah\nYou like to get me high\nYou don't want no one beside ya\nYou like when I make fire\nYou say La Flame can make you fly, yeah (make you fly, yeah)\nLet me cum inside ya\nLet me plant that seed inside, yeah\nAss and titties, titties\nOnly thing that stuck with me, with me\nOnly thing that was real\nOnly thing I could feel, you feel me? (feel me)\nSo why you bother me, why you bother me?\nTryna catch a P.O.V (tryna catch a P.O.V, nah)"", ""Oh, love, love, love, love\n'long as we got\nLove, love, love\n'long as we got\nWe got"", ""Oh, I came to your city\nLookin' for lovin' n licky\n'Cause you promised to put it down\nAll up in your city, lookin' for you oh\nSearchin' for your light, oh\nOnly thing keeping me from jumpin' you right now\nRight now, love\nOnly thing keepin' me by your side\nOnly thing keepin' me by your side now""]",1
180,81,drowning,a boogie wit da hoodie featuring kodak black,2017,"[""I'm drownin'\nI'm drownin'\nI'm drownin'\nI'm drownin'"", ""Wrist so icy, wonder why she like me, bitch I'm drownin'\nIn water, I just bought a Cuban, dipped it in a fountain\nEverywhere that I go it's a light show, I'm surrounded\nBust down, bust down, bust down, bust down, bust down, bitch I'm drownin'\nI just bought a Cuban ring and dipped it in a fountain\nChain so heavy I feel like I'm holdin' up a mountain\nEverywhere that I go it's a light show, I'm surrounded"", ""Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'"", ""I'm with all my niggas, I don't go nowhere without 'em\nIf they don't let us in they might throw shots at the bouncer\nActavis medicine, got it straight from out the doctor's\nI'm with RJ but I call him Wayne 'cause he's a shotta\nPick up the ladder, put it in the gun, make the 9 stretch\nNiggas with attitude, but we come straight out of Highbridge\nI'm gon' make her panties wet when she see the way I flex\nI'm gon' win a Grammy, move my family out the projects\nWe went from chillin' in the projects to makin' projects\nWe was tryna get to the top, and they tried to stop us"", ""I talk for myself, bitch I don't need no fucking voucher\nShe looked at my wrist and she looked at a hundred thousand"", ""Wrist so icy, wonder why she like me, bitch I'm drownin'\nIn water, I just bought a Cuban, dipped it in a fountain\nEvery where that I go it's a light show, I'm surrounded\nBust down, bust down, bust down, bust down, bust down, bitch I'm drownin'\nI just bought a Cuban ring and dipped it in a fountain"", ""Chain so heavy I feel like I'm holdin' up a mountain\nEverywhere that I go it's a light show, I'm surrounded\nBust down, bust down, bust down, bust down, bust down, bitch I'm drownin'"", ""Just bought a brand new chain from Avianne\nNigga with attitude but I ain't from Compton\nLil Kodak bitch I'm Polo'd down like Carlton\nSniper Gang I put a nigga on a carton\nI'm the shit I'm fartin', I don't know how to potty\nPull up in a 'Rari, I'm in the Yo like Gotti\nA Boogie, I'm goin Scottie, nigga drop my deposit\nI ain't Jamaican, bitch I'm Haitian, but I got them shottas"", ""Harley Davidson every day, I'm ridin' with the chopper\nThey hatin', I know they don't wanna see a nigga prosper\nI ain't doing trims, I'm in the cut like I'm a barber\nShe call me daddy, but I ain't her motherfucking father"", ""Wrist so icy, wonder why she like me, bitch I'm drownin'\nIn water, I just bought a Cuban, dipped it in a fountain\nEvery where that I go it's a light show, I'm surrounded"", ""Bust down, bust down, bust down, bust down, bust down, bitch I'm drownin'\nI just bought a Cuban ring and dipped it in a fountain\nChain so heavy I feel like I'm holdin' up a mountain\nEverywhere that I go it's a light show, I'm surrounded\nBust down, bust down, bust down, bust down, bust down, bitch I'm drownin'\nBitch, I'm drownin'\nBitch, I'm drownin'\nI'm drownin'\nI'm drownin'\nI'm drownin'""]",1
181,82,starving,hailee steinfeld and grey featuring zedd,2017,,
182,83,both,gucci mane featuring drake,2017,"[""Southside\nIf Young Metro don't trust you, I'm gon' shoot you"", ""I got so many felonies I might can't never go to Canada\nBut Drake said he gon' pull some strings\nSo let me check my calendar\nI just popped one of them one what-you-call-its\nAnd it boosted my stamina\nNow I'm fucking her on the banister\nGuess I just East Atlanta'd her\nI'm in an all red drop tarantula\nFuck a Challenger\nDamn these hoes ain't got no manners bruh\nWhere's the manager?\nI keep throwing rubber bandies up\nHo pull your panties up\nCause you fuck like a granny fuck\nYou're just an amateur\nThis petite Philipe gon' make this crooked judge\nTry throw the book at me\nI look like half a million worth of heroin\nWhen she look at me\nBut you ain't gotta fuck with me my nig\nBut you're stuck with me\nBut how you called the cops on me my nig?\nYou grew up with me"", ""I don't usually do this unless I'm drunk or I'm high\nBut I'm both right now, got me talking about my life\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now and I need ya in my life\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now"", ""Yeah, I'm both\nYeah, I had a drink, yeah I smoked\nYeah, you think I need you, but I don't\nJust left out Dubai with all my folks\nOpen water, my location is remote\nShout out Yachty but this ain't a lil boat\nThis some shit I wrote up back when I was broke\nSee the power of the mind is not a joke\nMan, I said that I would do it and I did\nUsed to get leftovers out the fridge\nNobody was famous where I lived\nTill I got it jumping at the crib\nTook a lot to be able to give, I mean"", ""I don't usually do this unless I'm drunk or I'm high\nBut I'm both right now, got me talking about my life\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now and I need ya in my life\nI don't usually do this unless I'm drunk or I'm high\nBut I'm both right now"", 'Southside']",1
183,84,what about us,pink,2017,"['We are searchlights, we can see in the dark\nWe are rockets, pointed up at the stars\nWe are billions of beautiful hearts\nAnd you sold us down the river too far', 'What about us?\nWhat about all the times you said you had the answers?\nWhat about us?\nWhat about all the broken happy ever afters?\nWhat about us?\nWhat about all the plans that ended in disaster?\nWhat about love? What about trust?\nWhat about us?', 'We are problems that want to be solved\nWe are children that need to be loved\nWe were willing, we came when you called\nBut man, you fooled us, enough is enough, oh', 'What about us?\nWhat about all the times you said you had the answers?\nWhat about us?\nWhat about all the broken happy ever afters?\nOh, what about us?\nWhat about all the plans that ended in disaster?\nOh, what about love? What about trust?\nWhat about us?', 'Oh, what about us?\nWhat about all the plans that ended in disaster?\nWhat about love? What about trust?\nWhat about us?', ""Sticks and stones, they may break these bones\nBut then I'll be ready, are you ready?\nIt's the start of us, waking up, come on\nAre you ready? I'll be ready\nI don't want control, I want to let go\nAre you ready? I'll be ready\n'Cause now it's time to let them know we are ready\nWhat about us?"", 'What about us?\nWhat about all the times you said you had the answers?\nSo what about us?\nWhat about all the broken happy ever afters?\nOh, what about us?\nWhat about all the plans that ended in disaster?\nOh, what about love? What about trust?\nWhat about us?', 'What about us?\nWhat about us?\nWhat about us?', 'What about us?\nWhat about us?\nWhat about us?']",1
184,85,swalla,jason derulo featuring nicki minaj and ty dolla sign,2017,"['Drank\nYoung Money', ""Love in a thousand different flavors\nI wish that I could taste them all tonight\nNo, I ain't got no dinner plans\nSo you should bring all your friends\nI swear that a-all y'all my type"", ""All you girls in here, if you're feeling thirsty\nCome on take a sip 'cause you know what I'm servin'\nShimmy shimmy yay, shimmy yay, shimmy ya (drank)\nSwalla-la-la (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la\nShimmy shimmy yay, shimmy yay, shimmy ya (drank)\nSwalla-la-la (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la\nFreaky, freaky gyal\nMy freaky, freaky gyal"", ""Shimmy shimmy shimmy yay, shimmy yah\nBad girls gon' swalla-la-la\nBust down on my wrist in this bitch\nMy pinky-ring bigger than this\nMet her out in Beverly Hills, ay\nDolla got too many girls, ay\nMet her out in Beverly Hills, all she wear is red bottom heels\nWhen she back it up, putting on her snapback\nWhen she droppin' low, putting on her backpack\nDJ poppin', she gon' swallow that\nChampagne poppin', she gon' swallow that"", ""All you girls in here, if you're feeling thirsty\nCome on take a sip 'cause you know what I'm servin'\nShimmy shimmy yay, shimmy yay, shimmy ya (drank)\nSwalla-la-la (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la\nShimmy shimmy yay, shimmy yay, shimmy ya (drank)\nSwalla-la-la (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la\nFreaky, freaky gyal\nMy freaky, freaky gyal"", 'Bad gyal nuh swalla nuttin, word to the Dalai Lama\nHe know I\'m a fashion killa, word to John Galliano\nHe copping that Valentino, ain\'t no telling me ""no""\nI\'m that bitch, and he know, he know\nHow you wifin\' these thots? You don\'t get wins for that\nAnd another good year, we don\'t get blimps for that\nPussy game still cold, we don\'t get minx for that\nWhen I\'m poppin\' them bananas, we don\'t link chimps for that\nI gave these bitches two years, now your time\'s up\nBless her heart, she throwing shots but every line sucks\nI\'m in that cherry red foreign with the brown guts\nMy shit slappin\' like dude did Lebron nuts', ""All you girls in here, if you're feeling thirsty\nCome on take a sip 'cause you know what I'm servin'\nShimmy shimmy yay, shimmy yay, shimmy ya (my love) (drank)\nSwalla-la-la (my love) (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la\nShimmy shimmy yay, shimmy yay, shimmy ya (drank)\nSwalla-la-la (drank)\nSwalla-la-la (swalla-la-la)\nSwalla-la-la"", 'Young Money\nSwalla-la-la\nJ.D\nFreaky, freaky gyal\nSwalla-la-la\nMy freaky, freaky gyal\nSwalla-la-la\nMy freaky, freaky gyal\nSwalla-la-la\nMy freaky, freaky gyal\nDerulo']",1
185,86,slippery,migos featuring gucci mane,2017,"[""Pop a perky just to start up (pop it, pop it pop it)\nTwo cups of purple just to warm up (two cups, drank)\nI heard your bitch she got that water\n(Splash, drip, drip, woo, splash)\nSlippery, 'scuse me, please me (please)\nArm up, or believe me, believe me (believe me)\nGet beat, cause I'm flexin' 'Rari's (skrt)\nYou can bet on me (skr, skr)"", ""Hey, hey, hey, tater tot\nFuck niggas on my radar watch (watchin')\nCrocodile hunter, turn 'em to some gator shots (urr)\nIced out watch (ice), ridin' round ten o' clock (ten)\nRidin' round, geeked up, damn, think it's three o' clock (three)\nFour o' clock (four), five o' clock, six o' clock (five)\nI'm gon pop, if I don't I'm back to the pot (whip)\nI got rocks (rocks), big bales, big arms (bales)\nTommy gun, come out and play let's have fun (yeah)\nBig scales (scales), fishscale, big weight (fish)\nIceberg (ice), ice tray, ice tray (woo)\nPlug called (called), tried to front, I don't need it (brrt)\nI don't need it (brrt)\nPockets strong, wrist anemic (strong)\nGet freezy (freezy), young nigga pay your debt-is (debt-is)\nGrandma (grandma) auntie Ab and auntie Neesa (Neese)\nUncle Bo, auntie Greta serve ya perkys (Greta)\nAuntie Eva, she got a pound she might just serve it (serve)"", ""Pop a perky just to start up \n(pop it, pop it pop it)\nTwo cups of purple just to warm up \n(two cups, drank)\nI heard your bitch she got that water\n(Splash, drip, drip, woo, splash)\nSlippery, excuse me, please me (please)\nArm up, or believe me, believe me (believe me)\nGet beat, cause I'm flexin' 'Rari's (skrt)\nYou can bet on me (skr, skr)"", ""\n(Offset!)\nHey, hey, hey, slippery, she numbin' me, that tongue on me\nHonestly (honest), she fuck with me, a wife to be (wife)\nIn Italy, bought her a fur, look like the wildebeest (rarr)\nJust chill with me (chill)\nIt is no worry, it is a bill to me (it ain't nothin')\nI pull up Diablo, I pull up with models\nI gave her her first Philippe (Philippe)\nWe goin' full throttle, she swallowed the bottle\nI'm all in her ovaries (ahh)\nI gave her some dollars\nI Gucci'd her collar now she can't get over me (hey)\nShe wanna dose of me (dose)\nJust hop in the Ghost with me (Ghost)\nPerky and molly, don't vote for nobody\nThese bitch ass niggas ain't solid (solid)\nRun in your house and with pumps and the shotties\nYour mom might be up inside it (bah)\nCars robotic, bad bitch with a body\nBut really don't care nothing about it (uh-uh)\nCappin' and poppin', I seen that lil Masi\nI coulda pulled up and just shot ya ( brrt)\nIt's a jungle, I let off some fire (some fire)"", ""\nPop a perky just to start up \n(pop it, pop it pop it)\nTwo cups of purple just to warm up \n(two cups, drank)\nI heard your bitch she got that water\n(Splash, drip, drip, woo, splash)\nSlippery, excuse me, please me (please)\nArm up, or believe me, believe me (believe me)\nGet beat, cause I'm flexin' 'Rari's (skrt)\nYou can bet on me (skr, skr)"", ""I rock water, diamonds, I'm drippin' but not slippin'\nI threw a quarter, (well damn) but no I'm not trippin'\nBugatti on Forgi's, and nawl, I'm not crippin'\nI buy Ferrari's like Jordans\nI'm Mike and y'all Pippen\nChillin', just me and my millions\nNiggas, they all in they feelin's\nMy bitches, I spoil them like children\nSo persistent, if I want it, I go get it\nI'm so slimy, grimy, sheisty but still shining\nRude and unkindly, cruel with no conscious\nDrop the top on College, nigga I ain't with no nonsense\nAnd I'm a murderer nigga but I don't promote violence"", ""\nDead shot (brrt), AK make your head rock (brrt)\nRed dot, retro 8, Jordan they in stock\nLean on rocks (Act)\nPerkys, mollies, xannies, rocks (roxies)\nOxycontin (oxyies)\nTakeoff I'm your med doc (Takeoff!)\nLeg lock (leg)\nThe key I got, unlock the box (box)\nWhat's in that box, huh?\nDon't tell em they might show the cops (shh)\nWrist watch (bite), abnormal so I flood the clock (ice)\nMoney flop, panties drop, that's when them titties pop (woo)\nFree my partners (John Wicc)\n'Til they free it's fuck the cops (fuck 'em)\nThey know I geek a lot\nThey don't know I keep a Glock (clueless)\nAin't been no drought (where)\nThey think I been sleep a lot\nThey think I'm dumb (dumb)\nThey don't know I see the plot (see it)\nFuck it I seize a knot"", ""\nPop a perky just to start up \n(pop it, pop it pop it)\nTwo cups of purple just to warm up \n(two cups, drank)\nI heard your bitch she got that water\n(Splash, drip, drip, woo, splash)\nSlippery, excuse me, please me (please)\nArm up, or believe me, believe me (believe me)\nGet beat, cause I'm flexin' 'Rari's (skrt)\nYou can bet on me (skr, skr)\nHey, hey, hey""]",1
186,87,sign of the times,harry styles,2017,"[""Just stop your crying\nIt's a sign of the times\nWelcome to the final show\nHope you're wearing your best clothes\nYou can't bribe the door on your way to sky\nYou look pretty good down here\nBut you ain't really good"", 'If we never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets\nWe never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets', ""Just stop your crying\nIt's a sign of the times\nWe gotta get away from here\nWe gotta get away from here\nJust stop your crying\nIt will be alright\nThey told me that the end is near\nWe gotta get away from here"", 'Just stop crying\nHave the time of your life\nBreaking through the atmosphere\nThings are pretty good from here\nRemember everything will be alright\nWe can meet again somewhere\nSomewhere far away from here', 'If we never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets\nWe never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets', ""Just stop your crying\nIt's a sign of the times\nWe gotta get away from here\nWe gotta get away from here\nJust stop your crying\nIt will be alright\nThey told me that the end is near\nWe gotta get away from here"", 'If we never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets\nWe never learned, we been here before\nWhy are we always stuck and running from\nThe bullets\nThe bullets', ""We don't talk enough\nWe should open up\nBefore it's all too much\nWill we ever learn?\nWe've been here before\nIt's just what we know"", ""Stop your crying baby\nIt's a sign of the times\nWe gotta get away\nWe got to get away\nWe got to get away\nWe got to get away\nWe got to get away\nWe got to, we got to\nWe got to, we got to\nWe got to, we got to""]",1
187,88,water under the bridge,adele,2017,"[""If you're not the one for me\nThen how come I can bring you to your knees?\nIf you're not the one for me\nWhy do I hate the idea of being free?\nAnd if I'm not the one for you\nYou've gotta stop holding me the way you do\nOh honey if I'm not the one for you\nWhy have we been through what we have been through?\nIt's so cold out here in your wilderness\nI want you to be my keeper\nBut not if you are so reckless"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge\nWoaah, woaaah\nSay that our love ain't water under the bridge"", ""What are you waiting for?\nYou never seem to make it through the door\nAnd who are you hiding from?\nIt ain't no life to live like you're on the run\nHave I ever asked for much?\nThe only thing that I want is your love"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge\nWoaah, woaaah\nSay that our love ain't water under the bridge"", ""It's so cold out here in your wilderness\nI want you to be my keeper\nBut not if you are so reckless"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge"", ""If you're gonna let me down\nLet me down gently don't pretend\nThat you don't want me\nOur love ain't water under the bridge"", ""Say it ain't so, say it ain't so\nSay it ain't so, say it ain't so"", ""Say that our love ain't water under the bridge\nSay it ain't so, say it ain't so\nSay it ain't so, say it ain't so\nSay it ain't so, say it ain't so"", ""Say that our love ain't water under the bridge\nSay it ain't so, say it ain't so\nSay that our love ain't water under the bridge""]",1
188,89,malibu,miley cyrus,2017,"[""I never came to the beach, or stood by the ocean\nI never sat by the shore, under the sun with my feet in the sand\nBut you brought me here\nAnd I'm happy that you did\n'Cause now I'm as free\nAs birds catching the wind\nI always thought I would sink, so I never swam\nI never went boatin', don't get how they are floatin'\nAnd sometimes I get so scared of what I can't understand"", ""But here I am, next to you\nThe sky's more blue in Malibu\nNext to you in Malibu\nNext to you"", ""We watched the sun go down as we were walking\nI'd spent the rest of my life standing here talking\nYou would explain the current, as I just smile\nHoping that you'll stay the same, and nothing will change\nAnd it'll be us, just for a while\nDo we even exist?\nThat's when I make the wish, to swim away with the fish\nIs it supposed to be this hot all summer long?\nI never would've believed you if three years ago you told me\nI'd be here writing this song"", ""But here I am, next to you\nThe sky's so blue in Malibu\nNext to you in Malibu\nNext to you\nNext to you\nThe sky's so blue in Malibu\nNext to you"", ""We are just like the waves that flow back and forth\nSometimes I feel like I'm drowning\nAnd you're there to save me\nAnd I wanna thank you with all of my heart\nIt's a brand new start\nA dream come true\nIn Malibu""]",1
189,90,down,marian hill,2017,"[""Didn't even really wanna go\nBut if you get me out, you get a show\nThere's so many bodies on the floor\nSo baby we should go and add some more\nAre you down, d-d-down, d-d-down, d-d-down, down, down?\nDown, d-d-down, d-d-down, d-d-down, down, down?\nEverywhere I look are peoples' hands\nThrown up in the air to help them dance\nCome on, baby, catch me if you can\nI know you don't have any other plans\nAre you down, d-d-down, d-d-down, d-d-down, down, down?\nDown, d-d-down, d-d-down, d-d-down, down, down?"", '\nAre you... down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nAre you down, are you down, are you d-d-down?\nDown, down, d-d-down, down, d-down, down?\nAre you down, are you down, are you d-d-d-d-down, are you Down, are you down, are you d-d-down, are you?\nDown, down, d-d-down, down, d-down, down?\nDown, down, down, d-d-d-down?', ""\nYou know we could put them all to shame\nNow isn't the time to play it safe\nIsn't this the reason why you came?\nSo, baby, don't you let it go to waste\nAre you down, d-d-down, d-d-down, d-d-down, down, down?\nDown, d-d-down, d-d-down, d-d-down, down, down?\nEvery single thing is feeling right\nStarted as a quiet Friday night\nI don't really think that we should fight this\nWhat if we don't stop until it's light?\nAre you down, d-d-down, d-d-down, d-d-down, down, down?\nAre you down, d-d-down, d-d-down, d-d-down, down, down?"", '\nAre you... down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nAre you down, are you down, are you d-d-d-d-down, are you Down, are you down, are you d-d-down, are you?\nDown, down, d-d-down, down, d-down, down?\nDown, down, down, d-d-d-down?', '\nAre you, are you, are you d-d-down, down?\nAre you, are you... down...are you?', '\nDown, down, d-d-down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nDown, down, d-d-down, down, d-down, down?\nAre you down, are you down, are you d-d-d-d-down, are you Down, are you down, are you d-d-down, are you?\nDown, down, d-d-down, down, d-down, down?\nDown, down, down, d-d-d-down?\nAre you down, are you down, are you d-d-d-d-down, are you Down, are you down, are you d-d-down, are you?\nDown, down, d-d-down, down, d-down, down?']",1
190,91,no promises,cheat codes featuring demi lovato,2017,"[""Cuttin' me up like a knife\nAnd I feel it, deep in my bones\nKicking a habit\nI love even harder\nYou oughta know?"", ""I just wanna dive in the water, with you\nBaby, we can't see the bottom\nIt's so easy to fall for each other\nI'm just hoping we catch one another"", ""Oh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises\nOh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises"", ""Baby, I think about you\nAnd I feel it, deep in my heart\nMaybe we just ain't meant to be something\nMaybe we are?"", ""I just wanna dive in the water, with you\nBaby, we can't see the bottom\nIt's so easy to fall for each other\nI'm just hoping we catch one another"", ""Oh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises\nOh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises"", ""I just wanna dive in the water\nOh baby, we can't see the bottom\nI just want to dive in with you\nI just want to lie here with you"", ""Oh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises\nOh na na, just be careful, na na\nLove ain't simple, na na\nPromise me no promises\nPromise me no promises""]",1
191,92,treat you better,shawn mendes,2017,"[""I won't lie to you\nI know he's just not right for you\nAnd you can tell me if I'm off\nBut I see it on your face\nWhen you say that he's the one that you want\nAnd you're spending all your time\nIn this wrong situation\nAnd anytime you want it to stop"", 'I know I can treat you better than he can\nAnd any girl like you deserves a gentleman\nTell me, why are we wasting time\nOn all your wasted crying\nWhen you should be with me instead?\nI know I can treat you better\nBetter than he can', ""I'll stop time for you\nThe second you say you'd like me to\nI just wanna give you the loving that you're missing\nBaby, just to wake up with you\nWould be everything I need, and this could be so different\nTell me what you want to do"", ""'Cause I know I can treat you better than he can\nAnd any girl like you deserves a gentleman\nTell me, why are we wasting time\nOn all your wasted crying\nWhen you should be with me instead?\nI know I can treat you better"", 'Better than he can\nBetter than he can', ""Give me a sign\nTake my hand, we'll be fine\nPromise I won't let you down\nJust know that you don't have to do this alone\nPromise I'll never let you down"", ""'Cause I know I can treat you better than he can\nAnd any girl like you deserves a gentleman\nTell me, why are we wasting time\nOn all your wasted crying\nWhen you should be with me instead?\nI know I can treat you better"", 'Better than he can\nBetter than he can\nBetter than he can']",1
